,Position,Power
0,5386300,3.6e-07
0,5390050,4e-07
0,5393800,5e-07
0,5397550,6e-07
0,5401300,7e-07
0,5405050,8.3e-07
0,5408800,1.13e-06
0,5412550,1.7e-06
0,5416300,2.56e-06
0,5420050,4.05e-06
0,5423800,7.3e-06
0,5427550,1.41e-05
0,5431300,2.927e-05
0,5435050,6.217e-05
0,5438800,0.0001169
0,5442550,0.0002071
0,5446300,0.0003328
0,5450050,0.000501
0,5453800,0.0006814
0,5457550,0.0008235
0,5461300,0.000886
0,5465050,0.000873
0,5468800,0.0007877
0,5472550,0.000647
0,5476300,0.0004838
0,5480050,0.0003252
0,5483800,0.0001923
0,5487550,0.0001063
0,5491300,5.12e-05
0,5495050,2.515e-05
0,5498800,1.12e-05
0,5502550,5.25e-06
0,5506300,2.74e-06
0,5510050,1.8e-06
0,5513800,1.2e-06
0,5517550,8.3e-07
0,5521300,6.6e-07
0,5525050,5.4e-07
0,5528800,5e-07
0,5532550,4e-07
0,5536300,3.6e-07
