,Position,Power
0,5495560,2.1e-06
0,5499310,3.04e-06
0,5503060,4.6e-06
0,5506810,7.1e-06
0,5510560,1.1e-05
0,5514310,1.74e-05
0,5518060,2.85e-05
0,5521810,4.01e-05
0,5525560,6.52e-05
0,5529310,9.62e-05
0,5533060,0.000143
0,5536810,0.0001945
0,5540560,0.0002613
0,5544310,0.0003428
0,5548060,0.0004432
0,5551810,0.000543
0,5555560,0.000646
0,5559310,0.000736
0,5563060,0.0008082
0,5566810,0.0008616
0,5570560,0.000886
0,5574310,0.00088
0,5578060,0.00084
0,5581810,0.0007615
0,5585560,0.0006676
0,5589310,0.0005646
0,5593060,0.0004687
0,5596810,0.0003667
0,5600560,0.0002787
0,5604310,0.000202
0,5608060,0.0001407
0,5611810,9.44e-05
0,5615560,6.264e-05
0,5619310,4.035e-05
0,5623060,2.545e-05
0,5626810,1.603e-05
0,5630560,1.05e-05
0,5634310,6.7e-06
0,5638060,4.23e-06
0,5641810,2.9e-06
0,5645560,2.1e-06
