,Difference start-end,summed up
0,1270,1270
0,220,220
0,190,190
0,160,160
0,190,190
0,170,170
0,190,190
0,180,180
0,190,190
0,180,180
0,180,180
0,160,160
0,140,140
0,170,170
0,150,150
0,140,140
0,170,170
0,140,140
0,140,140
0,170,170
0,170,170
0,150,150
0,150,150
0,160,160
0,150,150
0,140,140
0,180,180
0,180,180
0,170,170
0,170,170
0,190,190
0,220,220
0,190,190
0,180,180
0,170,170
0,150,150
0,140,140
0,170,170
0,180,180
0,180,180
0,170,170
0,180,180
0,210,210
0,200,200
0,200,200
0,210,210
0,220,220
0,260,260
0,250,250
0,230,230
0,220,220
0,180,180
0,200,200
0,250,250
0,260,260
0,240,240
0,240,240
0,240,240
0,230,230
0,230,230
0,210,210
0,340,340
0,260,260
0,300,300
0,310,310
0,310,310
0,320,320
0,290,290
0,310,310
0,290,290
0,350,350
0,330,330
0,290,290
0,340,340
0,300,300
0,350,350
0,340,340
0,340,340
0,330,330
0,350,350
0,350,350
0,340,340
0,360,360
0,300,300
0,360,360
0,320,320
0,310,310
0,300,300
0,280,280
0,340,340
0,350,350
0,400,400
0,380,380
0,370,370
0,330,330
0,420,420
0,380,380
0,480,480
0,500,500
0,500,500
0,500,500
