,Difference start-end,summed up
0,20,20
0,20,20
0,10,10
0,10,10
0,20,20
0,10,10
0,20,20
0,20,20
0,20,20
0,20,20
0,20,20
0,20,20
0,20,20
0,10,10
0,20,20
0,10,10
0,20,20
0,10,10
0,390,390
0,190,190
0,210,210
0,130,130
0,140,140
0,150,150
0,180,180
0,190,190
0,160,160
0,140,140
0,200,200
0,150,150
0,220,220
0,150,150
0,190,190
0,90,90
0,170,170
0,220,220
0,210,210
0,170,170
0,240,240
0,230,230
0,280,280
0,250,250
0,220,220
0,210,210
0,200,200
0,250,250
0,290,290
0,240,240
0,320,320
0,290,290
0,310,310
0,280,280
0,340,340
0,260,260
0,360,360
0,300,300
0,400,400
0,220,220
0,230,230
0,150,150
0,310,310
0,170,170
0,280,280
0,290,290
0,260,260
0,220,220
0,170,170
0,270,270
0,340,340
0,200,200
0,240,240
0,270,270
0,240,240
0,150,150
0,260,260
0,220,220
0,260,260
0,290,290
0,360,360
0,190,190
0,270,270
0,220,220
0,200,200
0,350,350
0,260,260
0,200,200
0,220,220
0,360,360
0,200,200
0,180,180
0,110,110
0,150,150
0,260,260
0,280,280
0,370,370
0,290,290
0,230,230
0,290,290
0,220,220
0,250,250
0,170,170
