,Difference start-end,summed up
0,20,20
0,30,30
0,10,10
0,10,10
0,20,20
0,20,20
0,20,20
0,10,10
0,10,10
0,20,20
0,20,20
0,20,20
0,20,20
0,10,10
0,20,20
0,20,20
0,20,20
0,10,10
0,20,20
0,20,20
0,10,10
0,20,20
0,10,10
0,10,10
0,20,20
0,10,10
0,30,30
0,20,20
0,20,20
0,10,10
0,20,20
0,10,10
0,30,30
0,20,20
0,30,30
0,10,10
0,10,10
0,10,10
0,20,20
0,20,20
0,10,10
0,20,20
0,10,10
0,20,20
0,10,10
0,10,10
0,20,20
0,10,10
0,20,20
0,10,10
0,20,20
0,10,10
0,10,10
0,20,20
0,10,10
0,20,20
0,10,10
0,10,10
0,20,20
0,10,10
0,20,20
0,10,10
0,20,20
0,10,10
0,20,20
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,20,20
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
